Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
Amyloidosis:;Is caused by infiltration of amyloid fibrils within cardiomyocytes;Is caused by accumulation of globotriaosylceramide (Gb3) within cardiomyocytes;Some forms are genetically transmitted;Affects only the heart;All of the above;Some forms are genetically transmitted;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1344;
Obstruction to flow in hypertrophic cardiomyopathy:;Increases after taking vasodilators;Is present in all patients with familial hypertrophic cardiomyopathy;Occurs during the Valsalva maneuver;Is typically dynamic;All of the above are true;Is typically dynamic;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1345;
In the Rima-Trendelenburg maneuver:;The tourniquet is placed below the knee;The patient is placed first in supine position and then in upright position;The patient is always and only placed in an upright position;If blood refluxes, it means there is venous circulation continence;None of the above;The patient is placed first in supine position and then in upright position;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1346;
Which of the following is a symptom/sign of chronic mesenteric ischemia?;Heartburn;Abdominal angina;Sudden abdominal pain;Weight loss;B + D;B + D;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1347;
Which method is extremely useful for diagnosing deep venous circulation obstruction?;Doppler;Ecocolordoppler;Clinical signs;Phlebography;None of the above;Ecocolordoppler;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1348;
How often are abdominal aortic aneurysms associated with iliac artery aneurysms?;40%;10%;90%;Always;Never;10%;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1349;
Which of the following is not part of the treatment for diabetic foot?;Application of moisturizing and emollient creams;Revascularization of the arteries of the lower limbs;Compression therapy;Use of specific footwear;A + D;Compression therapy;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1350;
What ankle-brachial index value defines severe arterial disease?;ABI > 0.90;ABI 0.90 - 0.70;ABI 0.70 - 0.50;ABI < 0.50;None of the above;ABI < 0.50;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1351;
The lesion of which of the following nerves is a complication contemplated in carotid thromboendarterectomy?;Vagus;Hypoglossal;Glossopharyngeal;All of the above;None of the above;All of the above;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1352;
The great saphenous vein originates:;Anteriorly to the medial malleolus;Anteriorly to the lateral malleolus;From the plantar surface of the foot;Posteriorly to the medial malleolus;Posteriorly to the lateral malleolus;Anteriorly to the medial malleolus;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1353;
Which of these methods is NOT indicated for assessing bronchial reactivity? Choose an alternative:;Salbutamol test;Methacholine test;Mannitol test;Exercise;C + D;Salbutamol test;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1354;
Which of the following is not characteristic of atypical CAP: Choose an alternative:;Frequently presents in small outbreaks;Commonly affects young, healthy subjects;Sparing of the pulmonary interstitium;Discrepancy between thoracic and radiologic objective reports;Pulmonary component is often part of a systemic clinical picture;Sparing of the pulmonary interstitium;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1355;
What is meant by stage zero sarcoidosis? Choose an alternative:;Presence of extra-thoracic manifestations in the absence of thoracic abnormalities;Presence of unilateral hilar enlargement;Presence of bilateral hilar enlargement;Heerfordt's syndrome;Loffgren's syndrome;Presence of extra-thoracic manifestations in the absence of thoracic abnormalities;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1356;
Which is NOT part of the Wells score evaluation for pulmonary embolism (PE): Choose an alternative:;Signs and/or symptoms of DVT;EP more likely than the possible differential diagnoses;Heart rate > 100 bpm;Previous DVT/EP;Sepsis;Sepsis;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1357;
Which of the following findings on objective examination is NOT present in emphysema? Choose one alternative:;Hypomobility of the hemidiaphragms;Horizontalized ribs;Increased antero-posterior diameter of the chest;Increased intensity of vesicular murmur;Paraphonic cardiac tones;Increased intensity of vesicular murmur;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1358;
The Emphysema Index is the ratio of: Choose an alternative:;FEV1/IC;RV/FVC;RV/TLC;FRC/TLC;ERV/TLC;RV/TLC;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1359;
The equilibrium point of the thoracopulmonary system at what capacity is reached: Choose an alternative:;VC;TLC;FVC;IC;FRC;FRC;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1360;
A CD8 cell lymphocytic alveolitis in BAL fluid is indicative of: Choose an alternative:;Pneumoconiosis ;Asbestosis;Diplocococcus pneumoniae infection;Sarcoidosis;Extrinsic allergic alveolitis;Extrinsic allergic alveolitis;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1361;
Pathophysiology of atherosclerosis: which of the following statements is WRONG? Choose one alternative:;Endothelial damage represents the primum movens of the formation of atherosclerotic lesions;Smooth muscle cells involved in the development of atherosclerotic lesions undergo a phenotypic switch that makes them capable of synthesizing collagen;B lymphocytes are primarily involved in the formation of atherosclerotic lesions;Coronary imaging techniques that allow characterization of atherosclerotic plaque include IVUS (intravascular ultrasound) and OCT (optical coherence tomography);The fibrous cap of atherosclerotic plaques contains muscle cells, macrophages, lymphocytes, collagen, elastin, proteoglycans;B lymphocytes are primarily involved in the formation of atherosclerotic lesions;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1362;
Which of the following is NOT a mutation among the known and most frequent mutations that result in hypertrophic cardiomyopathy:;MYH7;MYBPC3;PPP193;TNNT2;ACTC;PPP193;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1363;
Which of the following conditions typically identifies cardiogenic shock? Choose one alternative:;Cardiac index > 2 L/min/m<sup>2</sup> and Pulmonary Capillary Wedge Pressure (PCWP) > 18 mmHg;Cardiac index > 2 L/min/m<sup>2</sup> and Pulmonary Capillary Wedge Pressure (PCWP) < 18 mmHg;Cardiac index < 2 L/min/m<sup>2</sup> and Pulmonary Capillary Wedge Pressure (PCWP) > 18 mmHg;Cardiac index < 2 L/min/m<sup>2</sup> and Pulmonary Capillary Wedge Pressure (PCWP) < 18 mmHg;None of the above;Cardiac index < 2 L/min/m<sup>2</sup> and Pulmonary Capillary Wedge Pressure (PCWP) > 18 mmHg;Cardiology and Respiratory Medicine;EN;SETS A-C;2021;Unverified;;14 gennaio 2021;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1364;
Which of the following statements about Laplace's Law is FALSE? Choose one alternative:;It helps explain why in heart failure there is a reduction in efficient;Contractile efficiency decreases as wall stress decreases;Predicts that wall stress is equal to: (pressure x diameter) / (2 x thickness);Ventricular dilatation results in altered contractile efficiency in the long run;Hypertrophy reduces wall stress and improves contractile efficiency;Contractile efficiency decreases as wall stress decreases;Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1365;
Which of the following forms of Atrial Flutter is NOT correct?;Right isthmus-dependent counterclockwise atrial flutter (uncommon);Non-isthmus-dependent cicatricial right atrial flutter;Left atrial flutter involving the mitral annulus;Non-isthmus-dependent right atrial flutter with superior circuit;Left atrial flutter involving the pulmonary veins;Right isthmus-dependent counterclockwise atrial flutter (uncommon);Cardiology and Respiratory Medicine;EN;SETS A-C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1366;
